No|entity|annotation|index1|index2|sentence
903|SERVICE|cast|20|24|home that will auto cast music to different rooms when I go from one room to another
905|SERVICE|notify|15|21|home that will notify me if the stove or oven is on with no one in the home
906|SERVICE|bark|18|22|my Smart House to bark loudly at randon times when I'm away
907|SERVICE|lock|35|39|a mail box that will automatically lock itself after the mail has been deliver
908|SERVICE|update|17|23|My Smart Home to update me when asked about my energy consumption
910|SERVICE|know|3|7|to know when there's water running
911|SERVICE|alert|19|24|an alarm system to alert everyone whenever it's time to eat
912|SERVICE|turn on and off|3|18|to turn on and off electronics in the house
913|SERVICE|sound|19|24|an alarm that will sound my room really loud
914|SERVICE|send|9|13|my tv to send a notification to my phone to remind me when my favorite show are returning for a new season
915|SERVICE|know|3|7|to know when my fridge is running low on everyday essentials by sending me a message to my phone
916|SERVICE|know|3|7|to know how long my air conditioners been running each day by sending me a message to my phone
917|SERVICE|notify|29|35|my kitchen stove and oven to notify me via text when i accidentally leave it on when im out the house or asleep
918|SERVICE|notify|19|25|my music device to notify me when my favorite artist release new music
919|SERVICE|notify|17|23|my smart home to notify me when my smart phone is full charged
920|SERVICE|notify|20|26|my laundry dryer to notify me when my clothes are dried even when it is still running
921|SERVICE|know|3|7|to know how long my shower been running each day while my family and myself use it
922|SERVICE|notify|9|15|my tv to notify me how long my children spend each day watching their favorite shows
924|SERVICE|show|3|7|to show the food calories, vitamins etc in our family food taken
926|SERVICE|runs|13|17|a bike which runs in herbs oil (not petrol/diesel)
927|SERVICE|clean|17|22|my dirty clothes clean without water and detergent powder
929|SERVICE|shows|14|19|a mirror that shows weather reports, daily to-do listings, reminders etc using Glass technology
930|SERVICE|detect|40|46|an automatic air conditioner that would detect when I am nearly home and automatically turn on
931|SERVICE|send|17|21|my appliances to send an alert when it needs cleaning or repair
932|SERVICE|tell|9|13|my tv to tell me when new movie releases in my geners are released
933|SERVICE|turn|32|36|all the lights in every room to turn off at 11pm
934|SERVICE|open|13|17|windows that open with smartphone
935|SERVICE|tell|24|28|sensors around house to tell me when someone gets within 10 ft of house
936|SERVICE|vaccums|29|36|something that automatically vaccums
937|SERVICE|lock|42|46|the front and back doors to automatically lock after 6pm
938|SERVICE|alert|11|16|my safe to alert my phone when someone tries to open it
939|SERVICE|cleans|15|21|something that cleans, dust.
940|SERVICE|tell|12|16|my phone to tell me the temp in my house and allow me to adjust it
941|SERVICE|monitors|14|22|a device that monitors the last time someone did a chore
942|SERVICE|cuts|15|19|something that cuts grass
943|SERVICE|remind|23|29|my medicine cabinet to remind me to give children medicine
944|SERVICE|tells|14|19|a device that tells me what devices are taking up the most energy
945|SERVICE|turn on|41|48|all my electronics in the living room to turn on when i open the front door
946|SERVICE|prevents|15|23|something that prevents sun from coming in windows.
947|SERVICE|locks|21|26|a medice cabnit that locks and lets me know when someone tries to open it
948|SERVICE|turn off|12|20|my house to turn off devices that haven't been used in a certain amount of time
949|SERVICE|turns|15|20|something that turns my tv on at a certain time of the day
950|SERVICE|turn on|13|20|cameras that turn on when they sense movement
951|SERVICE|turning on|23|33|automatic shower heads turning on at a certain time.
952|SERVICE|send|3|7|to send grocery list from fridge to phone
953|SERVICE|control|3|10|to control tv consumption from my phone
954|SERVICE|adjust|11|17|my home to adjust the lighting on my computer and television screens according to the amount of light in the room
955|SERVICE|shut off|3|11|to shut off all phones in the house at certain times
956|SERVICE|tell|12|16|my phone to tell me when someothing is wrong with the electrical system in house
957|SERVICE|pop up|13|19|reminders to pop up after a certain amount of time
958|SERVICE|alert|12|17|my phone to alert me if the dog leaves the premise using a sensor on the dog's collar
959|SERVICE|adjust|11|17|my home to adjust the air flow and amount of humidity
960|SERVICE|unlock|24|30|the ability to remotely unlock the house
961|SERVICE|turn off|10|18|an app to turn off the stove in case i'm not home and i forgot to turn it off
962|SERVICE|tells|14|19|a device that tells me when my pet gets into a room or something they're not meant to be in (i.e. the trash)
963|SERVICE|tell|11|15|my home to tell me when there is spoiled food in the refigerator
964|SERVICE|shows|13|18|an app which shows video of who rang my doorbell when i wasn't at home
965|SERVICE|tells|12|17|an app that tells me if my child gets near a dangerous appliance like a stove
966|SERVICE|record|11|17|my home to record television shows I missed while I was away
967|SERVICE|set|17|20|my smart home to set alarms to remind me when to take medicine
968|SERVICE|alert|18|23|my smart floor to alert me when ever my child keep non eatable item in her mouth
969|SERVICE|contact|17|24|my smart home to contact the police if anyone has broken into my home
970|SERVICE|recognize|25|34|my smart music system to recognize my mood when I enter home and play a song to that 
971|SERVICE|turn on|11|18|my home to turn on my coffee pot and make me coffee 10 minutes before I wake up
972|SERVICE|turn off|11|19|my home to turn off the television, mobile phones and computer until my children are done studying
974|SERVICE|send|19|23|my smart mobile to send me an SMS when my child is not feeling well, when I am in office
975|SERVICE|alert|17|22|my smart home to alert me when some enters the building i live in
976|SERVICE|turn off|12|20|the wifi to turn off at bedtime
977|SERVICE|alert|17|22|my smart home to alert me when my dog enters a room
978|SERVICE|warm|12|16|the beds to warm 10 mins before I enter
979|SERVICE|turn off|17|25|my smart home to turn off appliances (tv/computer) when a room is empty
980|SERVICE|turn on|21|28|the heated floors to turn on 30 mins before my alarm
981|SERVICE|alert|17|22|my smart home to alert me when a burner is on in the kitchen when it is unoccupied
982|SERVICE|clean|10|15|my vacuum cleaner to clean to floors at a particular time daily or as I Program 
984|SERVICE|start|22|27|the coffee machine to start 5 minutes before my alarm
986|SERVICE|alert|17|22|my smart home to alert me when someone is in the medicine cabinet
987|SERVICE|lock|25|29|the windows and doors to lock automatically after 10 pm
988|SERVICE|alert|17|22|my smart home to alert me when the oven is on, but there isn't anything in it
989|SERVICE|send|14|18|smart home to send a picture to my phone of anyone standing on my doorstep
990|SERVICE|turn off|23|31|automatic lights which turn off when I leave a room or only turn on when ambient light is low
991|SERVICE|control|3|10|to control fireplace from my phone
994|SERVICE|lock|18|22|the front door to lock automatically behind me
996|SERVICE|turn on|19|26|a system that will turn on televisions to the current channel when I enter a room
998|SERVICE|switch on|14|23|my chimney to switch on whenever I start my stove
999|SERVICE|adjusts|18|25|a thermostat what adjusts itself based on the outdoor temperature
1000|SERVICE|turn on|39|46|a connected washing machine that could turn on when I leave work
1003|SERVICE|displays|17|25|a phone app that displays current energy use and tracks long term stats
1005|SERVICE|capture|23|30|my smart television to capture my kids naughty things
1006|SERVICE|tell|18|22|Windows that will tell me what temperature it is outside along with the weather conditions. 
1007|SERVICE|shed|34|38|Car parking alert indication from shed  that was touches by anyone must indicate to bedroom in purpose of saftey.
1008|SERVICE|warn|22|26|a back door that will warn me when someone approaches within 15 feet of my door
1009|SERVICE|act|11|14|my wall to act as a in built wifi router 
1010|SERVICE|alert|18|23|Windows that will alert me and call the police when someone try's to open them. 
1013|SERVICE|light up|18|26|windows that will light up when it's dreary outside to brighten my mood
1015|SERVICE|lock|25|29|doors that automatically lock within 1 minute after they have been shut
1017|SERVICE|list|18|22|a panel that will list how much battery power all of my smart home devices currently have available
1018|SERVICE|remind|12|18|the home to remind me when cleaning supplies are low
1019|SERVICE|leave/enter|30|41|notification of when children leave/enter home through motion sensors
1021|SERVICE|monitor|19|26|features to safely monitor my baby's vital signs
1022|SERVICE|learn|23|28|the air conditioner to learn my behavior
1023|SERVICE|shut off|12|20|lights that shut off when i leave the room
1024|SERVICE|washes|18|24|a dishwasher that washes dishes using less water
1025|SERVICE|shuts off|26|35|a video game console that shuts off at bed time
1026|SERVICE|closes and locks|18|34|a doggy door that closes and locks when the dog is inside
1027|SERVICE|upload|19|25|A kitchen that can upload recipe requirements from my computer to my appliance
1030|SERVICE|lists|25|30|A screen in my home that lists all of my appliances and how much energy they consume
1032|SERVICE|turns|10|15|a TV that turns itself off after I leave the room
1034|SERVICE|flushes|14|21|a toilet that flushes itself a second time if there is extra poop
1035|SERVICE|turn|16|20|appliances that turn themselves off if the house detects that all occupants have left.
1037|SERVICE|adjust|18|24|lights that I can adjust from my chair
1038|SERVICE|counts|13|19|a floor that counts how many steps I take a day
1041|SERVICE|watch|17|22|Home monitors to watch my movements
1042|SERVICE|turn on|15|22|my computer to turn on automatically at 7am
1043|SERVICE|observe|14|21|Home monitors observe my activity and know when I am about to leave and have a Uber ready
1044|SERVICE|track|17|22|my smart home to track if my pet is inside or outside
1045|SERVICE|tell|18|22|my referigator to tell me when I need to buy milk, butter and eggs
1046|SERVICE|turn on|17|24|my smart home to turn on music when the shower is running
1047|SERVICE|lock|13|17|the doors to lock when I'm gone from the house for 10 minutes
1048|SERVICE|turn off|18|26|my smart house to turn off my fans if I'm not in the room for 10 minutes
1049|SERVICE|temperature|43|54|Hot water heater automatical heat water to temperature I like for showering
1050|SERVICE|turn off|18|26|my smart house to turn off the central air when I'm asleep
1052|SERVICE|alert|17|22|my smart home to alert me no discretely when someone pulls in
1053|SERVICE|alert|11|16|appliances alert me they are on before I leave
1055|SERVICE|sense|23|28|a smart home that will sense when nobody is home and automatically adjust the temperature
1057|SERVICE|calculates|19|29|a smart house that calculates my current energy bill so far this month
1058|SERVICE|integrates|16|26|smart home that integrates with every tv in each room to coordinate viewing
1059|SERVICE|opens and closes|32|48|a smart home that automatically opens and closes curtains and blinds
1060|SERVICE|alert|16|21|a smart home to alert me when the mail or packages are delivered
1061|SERVICE|alert|28|33|my smart home to notice and alert me any time a pet goes potty on the floor
1062|SERVICE|notify|17|23|my smart home to notify me when it has been more than 2 days since the litter has been changed
1063|SERVICE|notify|17|23|my smart home to notify me if there is too much dust in the air
1064|SERVICE|notify|17|23|my smart home to notify me any time the liquor cabinet has been opened
1065|SERVICE|notify|17|23|my smart home to notify me any time the gun cabinet is even touched, much less opened.
1066|SERVICE|notify|17|23|my smart home to notify me wherever I am whenever someone gets in the pool
1067|SERVICE|notify|18|24|my smart phone to notify me 10 minutes before the Braves games begin and if I don't respond, automatically DVR the game
1068|SERVICE|sync|17|21|my smart home to sync with package deliveries 
1069|SERVICE|wired|16|21|hidden speakers wired throughout the house
1070|SERVICE|tell|20|24|a service that will tell me if someone is outside of my house
1071|SERVICE|start|10|15|My car to start warming up on my schedule
1072|SERVICE|change|12|18|my walls to change different colors easily
1073|SERVICE|tell|19|23|a sensor that will tell me if the house smells bad
1074|SERVICE|turn off|16|24|wall outlets to turn off power to idle applicances
1075|SERVICE|heat up|15|22|my mattress to heat up at the same time my thermostat cools down
1076|SERVICE|cool|18|22|a chair that will cool me
1077|SERVICE|signal|12|18|my phone to signal when my team scores
1079|SERVICE|adjust|25|31|ability to automatically adjust solar panels throughout the day to get best energy production
1080|SERVICE|dim|13|16|windows that dim automatically if a stranger is coming to the door
1082|SERVICE|tell|9|13|alarm to tell me when air con filters need changing
1083|SERVICE|know|3|7|to know if there is wine in the fridge
1084|SERVICE|sense|17|22|my smart home to sense when to and water my houseplants when they need it
1085|SERVICE|adjusts|43|50|a thermostat that monitors my sleeping and adjusts the temperature according to my sleep cycle
1086|SERVICE|press|12|17|a button to press that will deliver groceries/pizza
1088|SERVICE|lock|11|15|ability to lock all doors and windows instantly (phone app or hot button)
1089|SERVICE|vacuum|31|37|my smart home to automatically vacuum the floors daily while I am at work
1090|SERVICE|adjust|16|22|lightbulbs that adjust to my activity such as reading a book or watching a movie
1091|SERVICE|clean|13|18|gutters that clean themselves
1092|SERVICE|tells|20|25|a plant sensor that tells me when certain plants need watering
1093|SERVICE|know|32|36|a special chip on pet collar to know if pet is inside house or not
1095|SERVICE|sense|17|22|my smart home to sense my approach and start cooking my dinner
1096|SERVICE|turn on|13|20|my shower to turn on when my alarm goes off.
1097|SERVICE|turn on|12|19|my radio to turn on when I go into the backyard
1098|SERVICE|alert|17|22|my smart home to alert me if my hot water heater leaks
1099|SERVICE|record|31|37|security cams to automatically record when strage movement happens at night
1100|SERVICE|start|18|23|the dishwasher to start when it's most efficient to use electricity
1101|SERVICE|warn|17|21|my smart home to warn me about carbon monoxide levels in my living room, when the fireplace is used
1103|SERVICE|clean and sanitize|30|48|my smarthome to automatically clean and sanitize my shower and bath at the end of the day
1105|SERVICE|warn|17|21|my smart home to warn me when the garage door is left open
1106|SERVICE|know|3|7|to know when my doors are locked remotely
1110|SERVICE|sound|12|17|my dryer to sound when the clothes are finished drying
1111|SERVICE|detect|19|25|an alarm that will detect leaks in the house
1112|SERVICE|know|3|7|to know the power consumption of provided appliances
1113|SERVICE|alert|17|22|my smart home to alert me if water is left on outside
1114|SERVICE|know|3|7|to know when there are dogs loose in the apartment complex
1116|SERVICE|tells|14|19|an alarm that tells me if a baby is awake
1117|SERVICE|responds|13|21|A stove that responds to voice commands
1118|SERVICE|alert|17|22|my smart home to alert me if a window is left open
1119|SERVICE|tell|13|17|my fridge to tell me when I am running low on food
1120|SERVICE|sense|25|30|my smart refrigerator to sense variations in temperature and alert me if maintenance will soon be required
1122|SERVICE|know|3|7|to know the amount of time my vegetables have been in the fridge
1125|SERVICE|brew|10|14|my tea to brew and be ready for my wakeup
1126|SERVICE|alert|17|22|my smart home to alert me if movement is detected outside
1127|SERVICE|turns off|32|41|a television that automatically turns off after an hour
1129|SERVICE|know|3|7|to know the decibel level of my amp throughout my apartment
1130|SERVICE|alert|17|22|my smart home to alert me when the mail is delivered
1131|SERVICE|clean, dry, and fold|38|58|my washer and dryer to automatically clean, dry , and fold the laundry
1132|SERVICE|alert|17|22|my smart home to alert me when packages are left on my door step
1134|SERVICE|alert|17|22|my smart home to alert me if a freezer gets too warm
1135|SERVICE|turns on|11|19|music that turns on when I enter the room
1136|SERVICE|alert|17|22|my smart home to alert me if an outside light is left on
1137|SERVICE|monitor|17|24|my smart home to monitor the moisture levels in the soil throughout the yard and water only the plants that need it using water from a rain barreil system
1138|SERVICE|remembers|10|19|a tv that remembers what each family member likes
1139|SERVICE|track|9|14|a way to track each family member's energy use
1140|SERVICE|know|3|7|to know when my child arrives home from school
1141|SERVICE|shut off|20|28|the refrigerator to shut off when the door is opened 
1142|SERVICE|cut off|27|34|Sockets that automatically cut off power supply if less than a certain voltage is being drawn, so that when pets chew wire, they're less likely to be electrocuted
1144|SERVICE|detect|13|19|something to detect drafts near windows and doors
1146|SERVICE|beeps|18|23|Shower floor that beeps at a certain temperature
1147|SERVICE|disable|26|33|A stove that can remotely disable my smoke alarm
1148|SERVICE|defaults|34|42|A water boiler that automatically defaults to Vacation Mode (and lowers the heat setting) if water has not been used for 3 days
1149|SERVICE|alert|11|16|my home to alert me when my pet leaves something behind on the floor
1152|SERVICE|knows|28|33|a fridge that automatically knows what I put in it by scanning the barcodes of food and tells me what I have at the push of a button
1153|SERVICE|know|3|7|to know my internet connection status
1154|SERVICE|scans|23|28|"smart garbage can that scans barcodes of what I throw out, and if it is a regularly used product (paper towels, eggs, bread bag,) puts them on a the ""to buy""/grocery list so I wont forget"
1155|SERVICE|know|3|7|to know if my EV is charged fully or how much time is left for full charge
1156|SERVICE|self sprays|28|39|A shower that automatically self sprays with an anti mildew solution after I exit the shower
1157|SERVICE|know|3|7|to know how much power is currently being consumed by appliance
1158|SERVICE|heats up|30|38|a bathroom that automatically heats up when the humidity rises and after showers to dry the air and bathroom contents
1159|SERVICE|tell|19|23|My refrigerator to tell me when I am low on foods I use often, 
1160|SERVICE|control|3|10|to control my solar panel with my smartphone
1161|SERVICE|turn on|20|27|my work computer to turn on at a set time each day
1162|SERVICE|control|3|10|to control all lights with my smartphone
1163|SERVICE|allow|9|14|my tv to allow me to order food for delivery with my voice
1164|SERVICE|pop up|21|27|smoke detectors that pop up with a map to fire extinguishers
1165|SERVICE|lock|25|29|doors that automatically lock after a certain tim
1166|SERVICE|chase|37|42|A robot that I can program that will chase out animals when they are in my yard
1167|SERVICE|monitor|3|10|to monitor my smoke detectors via my smartphone
1169|SERVICE|organize, fill and arrange|18|44|Storage bins that organize, fill and arrange themselves
1170|SERVICE|turn on|11|18|My home to turn on the lights when I come home and turn off the ones I'm not using when I leave a room,
1171|SERVICE|monitor|11|18|My home to monitor my energy use and turn the thermostat up or down according to my preferences
1172|SERVICE|shake|11|16|my home to shake the beds of my two older kids to wake them up in the morning,
1173|SERVICE|beep|14|18|the fridge to beep if it's left open
1174|SERVICE|tell|11|15|my oven to tell me when something I am baking is done,
1175|SERVICE|turn on|10|17|the tv to turn on when I get home
1178|SERVICE|send|21|25|smoke detectors that send a message to my phone if they go off when im not home
1180|SERVICE|remind|12|18|an alarm to remind me remind me to eat at regular times
1182|SERVICE|catalog|13|20|my fridge to catalog what I put in it and create a menu plan
1183|SERVICE|alerts|15|21|a feature that alerts me the sites my child visits
1185|SERVICE|work|23|27|my dvr, tv, and all networks (verizon, internet, and Netflix) to work seamlessly
1186|SERVICE|know|12|16|my house to know when people come and go
1188|SERVICE|adjust|26|32|my curtains and lights to adjust to morning, afternoon and evening
1189|SERVICE|notify|16|22|for my house to notify me if my dog is barking or being disruptive
1191|SERVICE|clean|24|29|my toilets and sinks to clean themselves on a schedule
1192|SERVICE|turns on|18|26|A thermostat that turns on as I wake up
1193|SERVICE|detects|24|31|An air conditioner that detects when my dog is in the room
1194|SERVICE|lock|11|15|Doors that lock after half an hour
1195|SERVICE|lock|13|17|Windows that lock
1196|SERVICE|shuts|13|18|An oven that shuts off when empty
1197|SERVICE|wired|9|14|Speakers wired into the walls that I can control my voice
1198|SERVICE|turn on|12|19|lights that turn on when someone approaches
1199|SERVICE|senses|18|24|A doggy door that senses my dogs collar
1200|SERVICE|turn on|12|19|Lights that turn on as I unlock my door
1202|SERVICE|turn off|10|18|the TV to turn off when my laptop is on and vice versa
1203|SERVICE|bases|24|29|a smart thermostat that bases the temperature on the temperature near me
1204|SERVICE|begin|14|19|The shower to begin on a voice command
1205|SERVICE|change|10|16|lights to change color
1206|SERVICE|sense|12|17|My doors to sense automatically when my smart phone is within a certain distance from the front door and unlock themselves.
1207|SERVICE|heat|14|18|the floors to heat up on cold mornings
1208|SERVICE|adjust|36|42|My home thermostat to automatically adjust to my body temperature 
1209|SERVICE|start|17|22|my smart home to start my coffee when my alarm goes off.
1210|SERVICE|turn off|9|17|wi-fi to turn off at a certain hour
1211|SERVICE|notify|19|25|My refrigerator to notify me when an object has been inside more than four days 
1212|SERVICE|tracks|14|20|kitchen which tracks supplies by weight
1213|SERVICE|tell|17|21|my smart home to tell me if the garage door is open or closed
1214|SERVICE|turn on|18|25|appliances to not turn on when I am not home
1215|SERVICE|notify|13|19|My shower to notify me when there is no hot water left in the hot water heater or approximately how many minutes of hot shower time I have. 
1216|SERVICE|tell|23|27|a refigerator that can tell me when my store bought food will expire
1217|SERVICE|respond|17|24|my smart home to respond to voice commands to open or close the garage door
1218|SERVICE|assess|17|23|the smarthome to assess the temperature outside and adjust the inside temperature appropriately
1219|SERVICE|text|17|21|my smart home to text me when my kids come home from school
1220|SERVICE|alert|15|20|a smarthome to alert me when a young child upstairs is too close to the stairs
1221|SERVICE|shut off|31|39|my smart home to automatically shut off all video games after 45 minutes of play
1222|SERVICE|alerts|23|29|smarthome feature that alerts me when any medium or large animals are near my house outside
1223|SERVICE|produce|17|24|Kitchen that can produce recipes based on the food I have bought from the store
1224|SERVICE|turns on|23|31|smarthome feature that turns on preselected music/news/audiobook/etc. when I turn the shower on
1225|SERVICE|alert|23|28|My washer and dryer to alert me on my smart phone or through my smart home when a laundry cycle is done 
1226|SERVICE|sense|20|25|a bath tub that can sense the present temperature of the water in it
1227|SERVICE|attached|15|23|smart features attached to appliances such as the oven, microwave, gun safes
1228|SERVICE|sends|28|33|feature where the smarthome sends an alert to my smartphone when the laundry is almost done
1229|SERVICE|closes|23|29|smarthome feature that closes the blinds in my bedroom when it gets lighter outside, then opens them back up at a certain wake-up time
1230|SERVICE|sense|28|33|smarthome feature that will sense when a person is in the room and quickly heat/cool it
1231|SERVICE|alerts|23|29|smarthome feature that alerts me when certain cabinets are being opened
1232|SERVICE|tracks|15|21|a system which tracks all the movies currently available across all of my devices
1233|SERVICE|wakes/turns on|23|37|smarthome feature that wakes/turns on my computer at a certain time and pulls up websites I specify
1234|SERVICE|track|11|16|my home to track my medication usage
1235|SERVICE|sense|19|24|a furnace that can sense the temperature in multiple rooms 
1236|SERVICE|sense and shut off|15|33|the ability to sense and shut off multiple elements based on heat usage
1237|SERVICE|work|31|35|"My smart home to automatically work to put out fires if one should arise. When the smoke detector goes off, I want there to be a sprinkler system or a high pressure hydraulic system in place that will work to at least fight the fire if not put it out completely. I imagine a future filled with ""fireproof houses"" In this future our smoke detectors are going to need to be a lot better to avoid them going off at happenstance times or malfunctioning. But I would much rather my stuff be soaked in an instance like this than for my house to be completely destroyed by a fire. "
1239|SERVICE|tracks|7|13| which tracks the usage of electronics in the house
1240|SERVICE|sensing|27|34|a circuit panel with smart sensing abilities 
1241|SERVICE|warn|19|23|the smart house to warn me of local emergency warnings (and make preparations based on threat level).
1242|SERVICE|block out|13|22|the house to block out sounds from outside my room when studying 
1243|SERVICE|tell|23|27|a refigerator that can tell me when my store bought food will expire
1244|SERVICE|notes|19|24|a sensor that will notes when people are within a certain perminitor of the house
1245|SERVICE|notes|21|26|an air purifier that notes when doors or windows are open
1246|SERVICE|tell|24|28|the ability to remotely tell what doors or windows are opened or closed in a house
1247|SERVICE|tell|15|19|the ability to tell a door in a room to open or close, plus lock
1248|SERVICE|turn off|9|17|my ac to turn off when I leave home
1249|SERVICE|text|8|12|oven to text my phone
1250|SERVICE|remind|13|19|my fridge to remind me to buy fruits and vegetables
1251|SERVICE|lock|12|16|my doors to lock and unlock by voice recognition
1252|SERVICE|continue|23|31|my tv to automatically continue a program from my iPad
1253|SERVICE|drink|16|21|my remind me to drink water
1254|SERVICE|warm|8|12|to only warm occupied rooms in the winter
1256|SERVICE|know|3|7|to know when my pets have to go to the bathroom
1257|SERVICE|know|3|7|to know when my dog food supply is low
1258|SERVICE|know|3|7|to know when my home has an unauthorized entrant 
1259|SERVICE|respond|27|34|all lights in the house to respond to voice commands
1260|SERVICE|wake|3|7|to wake wife up by 8 am
1261|SERVICE|remain|10|16|lights to remain on only when needed
1262|SERVICE|brew|10|14|coffee to brew before it is needed
1263|SERVICE|break|4|9|to  break even gambling
1264|SERVICE|monitor|3|10|to monitor pollen levels within the home or around the exterior
1265|SERVICE|listen|3|9|to listen to punk rock
1266|SERVICE|listen|3|9|to listen to the best electronic music
1268|SERVICE|activates|22|31|a heating system that activates in the kitchen or bathroom according to the time set on an alarm clock
1270|SERVICE|lock and unlock|15|30|"the ability to lock and unlock the front door of my house with a simple touch if the ""key"" is on my person (as in some cars)"
1271|SERVICE|turn on|25|32|my bedroom humidifier to turn on at 11pm every night
1272|SERVICE|dispensed|5|14|food dispensed into my bowl 3 times a day
1275|SERVICE|know|19|23|my refrigerator to know how long my food has been inside
1276|SERVICE|integrate|27|36|my entertainment system to integrate with my Steam accounts
1277|SERVICE|detect|16|22|stairs that can detect when someone has fallen down
1278|SERVICE|hide|16|20|a home that can hide mail and cycle lights in the home
1279|SERVICE|detecting|14|23|Day and night detecting blinds and curtains
1282|SERVICE|notify|23|29|Doors and windows that notify me if they are opened while armed
1284|SERVICE|send|14|18|my toaster to send me a text
1285|SERVICE|pays|26|30|an arm that automatically pays the pizza driver
1286|SERVICE|soak|13|17|carpets that soak up whatever spills on them and sends me a text message
1287|SERVICE|pours|13|18|a robot that pours me my captain crunch
1288|SERVICE|jerks|13|18|a robot that jerks me off
1289|SERVICE|hold|13|17|a robot that hold my book or tablet in front of me and turns the pages
1290|SERVICE|tell|19|23|a cabinet that can tell when i'm low on certain food and automatically order some more
1292|SERVICE|tell|18|22|a heater that can tell what room i'm in and heat only that room
1293|SERVICE|shoots|27|33|a robot that automatically shoots a net at any stranger that comes into my house
1294|SERVICE|monitor|17|24|my smart home to monitor the hydration level of my soil outside
1295|SERVICE|turn on/off|30|41|Lights in individual rooms to turn on/off based on the motion of people in the room
1296|SERVICE|monitor|17|24|my smart home to monitor all outgoing water levels from the house
1297|SERVICE|notify|17|23|my smart home to notify whenever a kitchen appliance is turned on.
1298|SERVICE|turns on|22|30|A speaker system that turns on automatically when I'm in the shower, and turns off when I'm done using it.
1300|SERVICE|monitor|17|24|my smart home to monitor the amount of steps I take in the house, as well as other family members.
1301|SERVICE|monitor|17|24|My smart home to monitor the temperature in my garage during the winter.
1302|SERVICE|alert|17|22|my smart home to alert me where my pet is inside the home if it decides to hide
1303|SERVICE|pick up|31|38|my smart home to automatically pick up my cat's droppings
1305|SERVICE|respond|17|24|"my smart home to respond to a certain decibel level of the word ""Help!"" to alert authorities"
1307|SERVICE|monitor|25|32|my smart home feature to monitor my infants breathing at a very young age
1309|SERVICE|turn on|24|31|the hot water heater to turn on 
1311|SERVICE|assesses|13|21|an oven that assesses the meat for cooking.
1312|SERVICE|sync|18|22|my alarm clock to sync with my coffee maker 
1313|SERVICE|know|3|7|to know how much humidity is in the house.
1314|SERVICE|adjust|18|24|my smart house to adjust the temperature of which room I am occupying and decrease the temperature of other rooms not in use
1315|SERVICE|alert|18|23|My smart phone to alert me if I leave the coffee pot on.
1316|SERVICE|alert|15|20|a motivator to alert me when I did not go to the gym.
1317|SERVICE|knows|12|17|a home that knows when the floor is dirty, and sends appropriate robots to clean it
1318|SERVICE|acts|26|30|a cross platform app that acts as a remote control for all lighting and the thermostat
1319|SERVICE|update|17|23|my smart home to update me on traffic
1320|SERVICE|run|18|21|my vacuum to auto run when the house is not occupied
1321|SERVICE|adjust|15|21|my curtains to adjust opacity depending on the level of light coming in
1322|SERVICE|tilt|17|21|my bed to slowly tilt so that I roll out of it in the morning 
1323|SERVICE|recommend|24|33|my television system to recommend movie and teach shows off of the selective user at the time and begin playing such film or show
1324|SERVICE|warm|31|35|my smart home to automatically warm the floors in my home depending upon if the room is in use
1326|SERVICE|alert|18|23|my smart house to alert me about the septic tank
1327|SERVICE|project|17|24|windows that can project images that looks like there are ghosts in my house
1328|SERVICE|start|17|22|my smartphone to start the oven to cook dinner.
1329|SERVICE|turn off|31|39|my smart home to automatically turn off appliances like heating ovens and toasters if no one is home.
1330|SERVICE|begins|23|29|a bathroom mirror that begins an anti-fog procedure during and after showers
1332|SERVICE|alert|17|22|my smart home to alert me if the roof has been comprimised
1334|SERVICE|link|18|22|my smart phone to link to the surround sound to indicate my schedule and remind of things I might have planned for the day
1336|SERVICE|alert|17|22|my smart home to alert me to any pest intrusion
1337|SERVICE|feed|36|40|a fish tank that will automatically feed fish
1339|SERVICE|gathers up|22|32|a tiny toy train that gathers up my recyclables and sorts them for me, like a coin sorting machine
1340|SERVICE|connect|19|26|my smart fridge to connect with my phone to indicate whether I am running low on neccessary food suuplies
1341|SERVICE|alert|18|23|my smart house to alert me about stppages in gutters and downspouts
1342|SERVICE|prevent|17|24|My smart home to prevent long showers.
1343|SERVICE|record|17|23|my smart home to record my weight, body fat, and my daily calorie intake,
1345|SERVICE|placed|17|23|a series of well placed airhorns (but a different frequency than the litter box airhorn and the garden airhorn) 
1346|SERVICE|alert|17|22|my smart home to alert me when my wife is headed home
1347|SERVICE|controlled|4|14|app controlled motion detectors so i know if my child is going someplace he isn't supposed to be
1348|SERVICE|alert|17|22|my smart home to alert me when my mail is delivered
1349|SERVICE|maintain|34|42|smart ovens and toasters that can maintain the temperature of food, even when cold so that you can put breakfast in the oven/toaster overnight and have it cook on a timer or via app
1350|SERVICE|conserve|40|48|toilets to auto flush when necessary to conserve water 
1353|SERVICE|dim|17|20|my smart home to dim or turn off lights if no one is home, 
1354|SERVICE|notify|17|23|my smart home to notify me when there is a faulty outlet or wiring.
1355|SERVICE|update|17|23|my smart home to update me on food inventory while I am shopping
1356|SERVICE|controlled|10|20|app/alarm controlled retractable stairs
1357|SERVICE|notify|17|23|my smart home to notify me when items have expired
1359|SERVICE|recognize|19|28|my refrigerator to recognize, inventory, and display everything inside
1360|SERVICE|alert|27|32|my entertainment system to alert me off the movies and tv shows my children are watch 
